CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|ALL IN ONE|CIRCUITO IMPRESO ALL IN ONE|PUB3-9855-0005| 162 | 21 | 200 
REPUESTOS|ALL IN ONE|CIRCUITO, MOTOR Y BAT ALL IN O|PUB3-9855-0007| 422 | 21 | 200 
REPUESTOS|ALPHA|BASE CARGADOR ALPHA|PRO3-8741-0000| 350 | 21 | 200 
REPUESTOS|ALPHA|TAPA SUPERIOR ALPHA|PRO3-88300-060| 388 | 21 | 200 
REPUESTOS|ALPHA|CARCASA INFERIOR ALPHA|PRO3-88350-000| 140 | 21 | 200 
REPUESTOS|ALPHA|SWITCH ALPHA|PRO3-88370-000| 143 | 21 | 200 
REPUESTOS|ALPHA|CIRCUITO IMPRESO ALPHA|PRO3-90617-000| 464 | 21 | 200 
REPUESTOS|ALPHA|MOTOR ALPHA SIN LEVA|PRO3-95368-200| 490 | 21 | 200 
REPUESTOS|ALPHA|RES.  ESTABILIZADOR MOTOR ALPH|PRO3-96474-000| 30 | 21 | 200 
REPUESTOS|ALPHA|CONTACTO TRASERO BATERIA ALPHA|PRO3-97001-103| 128 | 21 | 200 
REPUESTOS|ALPHA|TRANSFORMADOR ALPHA -NUEVO-|PRO3-97618-6000| 720 | 21 | 200 
REPUESTOS|ALPHA / AMBASSADOR|GUIA PLAST CUCH.ALPHA/AMBASSAD|PRO3-8707-0020| 46 | 21 | 200 
REPUESTOS|ALPHA / AMBASSADOR|LEVA DE MOTOR AMBASSADOR|PRO3-93177-000| 50 | 21 | 200 
REPUESTOS|ALPHA / AMBASSADOR|RETEN DE CUCHILLA AMBASSADOR|PRO3-96332-100| 68 | 21 | 200 
REPUESTOS|ALPHA / AMBASSADOR|TRABA METAL.CUCH.AMBASS/ALPHA|PRO3-96488-001| 26 | 21 | 200 
REPUESTOS|ALPHA / AMBASSADOR|RESORTE TENSION CUCH.AMBASSADO|PRO3-96489-002| 80 | 21 | 200 
REPUESTOS|ALPHA / FLAIR|BATERIA ALPHA/FLAIR 1.2 V 1600|PRO3-93154-101| 306 | 21 | 200 
REPUESTOS|AMBASSADOR|TORNILLO DE CARC..AMBASS/ALPHA|PRO3-496-00000| 32 | 21 | 200 
REPUESTOS|AMBASSADOR|SWITCH AMBASSADOR|PRO3-8706-2000| 35 | 21 | 200 
REPUESTOS|AMBASSADOR|CIRCUITO IMPR.CARG.AMBASSADOR|PRO3-90607-300| 379 | 21 | 200 
REPUESTOS|AMBASSADOR|CTO.  IMPRESO AMBASSADOR LITHI|PRO3-93593-216| 295 | 21 | 200 
REPUESTOS|AMBASSADOR|CONTACTO TRASERO AMBASSADOR|PRO3-93794-000| 28 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|GUIA PLAST CUCH.ALPHA/AMBASSAD|PRO3-8707-0020| 46 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|TAPA SUPERIOR AMBASSADOR|PRO3-8733-0620| 143 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|LEVA DE MOTOR AMBASSADOR|PRO3-93177-000| 50 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|RETEN DE CUCHILLA AMBASSADOR|PRO3-96332-100| 68 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|TRABA METAL.CUCH.AMBASS/ALPHA|PRO3-96488-001| 26 | 21 | 200 
REPUESTOS|AMBASSADOR / ALPHA|RESORTE TENSION CUCH.AMBASSADO|PRO3-96489-002| 80 | 21 | 200 
REPUESTOS|ANNIVERSARY   |CARCASA INFERIOR ANNIVERSARY|PRO3-8902-0060| 190 | 21 | 200 
REPUESTOS|ANNIVERSARY   |TAPA SUPERIOR ANNIVERSARY|PRO3-8930-0040| 74 | 21 | 200 
REPUESTOS|ANNIVERSARY   |CONTACTO TRASERO ANNIVERSARY|PRO3-8947-0000| 90 | 21 | 200 
REPUESTOS|ANNIVERSARY   |LEVA MOTOR ANNIVERSARY|PRO3-93398-001| 30 | 21 | 200 
REPUESTOS|ANNIVERSARY   |LEVA MOTOR STERLING|PRO3-93399-001| 125 | 21 | 200 
REPUESTOS|ANNIVERSARY   |ARANDELA MOTOR ANNIVERSARY|PRO3-9922-0010| 23 | 21 | 200 
REPUESTOS|ANNIVERSARY   |RESORTE GROOMSMAN AMERICANA|PUB3-1547-0000| 23 | 21 | 200 
REPUESTOS|ARCO|TRANSFORMADOR UNIVERSAL|PRO3-1881-1671| 688 | 21 | 200 
REPUESTOS|ARCO|CIRCUITO IMPRESO ARCO|VET3-1854-7070| 400 | 21 | 200 
REPUESTOS|ARCO|JGO. CARCASAS ARCO|VET3-1854-7201| 529 | 21 | 200 
REPUESTOS|ARCO|MOTOR ARCO|VET3-1854-7280| 256 | 21 | 200 
REPUESTOS|ARCO  / POWER + / GENIO PLUS|BATERIA GENIO PLUS/ARCO/POWER+|PRO3-1854-7988| 785 | 21 | 200 
REPUESTOS|BALDING|TORNILLO  BASTIDOR  DE CUCHILLA|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|BALDING|TORNILLO TAPA|PRO3-495-2000| 24 | 21 | 200 
REPUESTOS|BALDING|SWITCH SUPER TAPER - W400|PRO3-8108-0010| 118 | 21 | 200 
REPUESTOS|BALDING|CARCASA INFERIOR|PRO3-8404-1000| 281 | 21 | 200 
REPUESTOS|BALDING|BOBINA SHUNT |PRO3-8424-0000| 418 | 21 | 200 
REPUESTOS|BALDING|BRAZO SHUNT SUPER TAPER|PRO3-8505-2010| 330 | 21 | 200 
REPUESTOS|BALDING|TAPA BALDING|PRO3-89600-3520| 241 | 21 | 200 
REPUESTOS|BALDING|BASTIDOR METALICO BALDING|PRO3-9214-5000| 190 | 21 | 200 
REPUESTOS|BALDING|ALMOHADILLA CUCHILLA|PRO3-94104-400| 36 | 21 | 200 
REPUESTOS|BALDING|TORNILLO SWITCH|PUB3-491-00100| 17 | 21 | 200 
REPUESTOS|BALDING|TORNILLO DE BOBINA|PUB3-503-00000| 20 | 21 | 200 
REPUESTOS|BALDING|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|BALDING|RESORT BOBINA |VET3-1177-3000| 28 | 21 | 200 
REPUESTOS|BALDING|TORNILLO BRAZO BOBINA|VET3-1567-2010| 28 | 21 | 200 
REPUESTOS|BALDING|TORNILLO CUCHILLA|VET3-508-40000| 26 | 21 | 200 
REPUESTOS|BALDING|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|BELLA|TORNILLO DE CARCASA BELLA|PRO3-1590-7010| 19 | 21 | 200 
REPUESTOS|BELLA|CTO C/ BAT PIN NUEVO BELLA/MIN|PRO3-1590-7280| 446 | 21 | 200 
REPUESTOS|BELLA|BASE CARGADOR S/TRAFO NUEVO|PRO3-1590-7430| 283 | 21 | 200 
